text,intention
Har ni några hundar i åldern 3-5 år?,Söka_Djurbestånd
Letar efter en hopphäst med tävlingserfarenhet.,Söka_Djurbestånd
Vilka raser av valpar finns tillgängliga just nu?,Söka_Djurbestånd
Finns det ston som är lämpliga för dressyr?,Söka_Djurbestånd
Jag vill se alla djur som är till salu i Skåne.,Söka_Djurbestånd
Har ni några små hundar som inte fäller mycket?,Söka_Djurbestånd
Visa mig alla hästar som är skadefria.,Söka_Djurbestånd
Jag söker en hanhund, gärna kastrerad.,Söka_Djurbestånd
Vilka ponnyer är lämpliga för en juniorryttare?,Söka_Djurbestånd
Har ni några djur som är över tio år gamla?,Söka_Djurbestånd
Jag undrar om ni har några Golden Retrievers inne.,Söka_Djurbestånd
Var kan jag se ert totala utbud av hundar?,Söka_Djurbestånd
Söker en skimmelhingst för avel.,Söka_Djurbestånd
Finns det några tikar som är vana vid barn?,Söka_Djurbestånd
Kan ni filtrera sökningen efter hästar under 160 cm i mankhöjd?,Söka_Djurbestånd
Har ni några djur som är tillgängliga för omplacering?,Söka_Djurbestånd
Jag letar efter en svart labradorvalp.,Söka_Djurbestånd
Visa mig alla hästar med täcke i storlek 135.,Söka_Djurbestånd
Finns det någon hundras som passar för en lägenhet?,Söka_Djurbestånd
Söker en vuxen hund med grundläggande lydnadsträning.,Söka_Djurbestånd
Vilka djur har ni i er butik i Göteborg?,Söka_Djurbestånd
Jag vill ha en lugn och stabil häst för skogsridning.,Söka_Djurbestånd
Har ni några hundar som är certifierade som terapihundar?,Söka_Djurbestånd
Kan jag sortera djuren efter pris?,Söka_Djurbestånd
Jag söker en B-ponny som är trygg i trafiken.,Söka_Djurbestånd
Vilka djur är av hankön och under tre år?,Söka_Djurbestånd
Jag är intresserad av raser som Schäfer eller Rottweiler.,Söka_Djurbestånd
Finns det några hästar med tidigare skadehistorik som säljs?,Söka_Djurbestånd
Visa mig alla hundar som är vaccinerade.,Söka_Djurbestånd
Jag vill ha en valp som är äldre än 12 veckor.,Söka_Djurbestånd
Har ni några katter till salu?,Söka_Djurbestånd
Söker en Welsh Cob-ponny.,Söka_Djurbestånd
Jag letar efter en hund som är tränad för drag.,Söka_Djurbestånd
Finns det några ridhästar i ert sortiment?,Söka_Djurbestånd
Kan jag få se er lista på lediga djur?,Söka_Djurbestånd
Vilka djur har ni annonserat de senaste 24 timmarna?,Söka_Djurbestånd
Jag vill veta vilka djur ni har på er hemsida just nu.,Söka_Djurbestånd
Har ni några hundar som är vana vid smådjur?,Söka_Djurbestånd
Visa mig alla djur som är leveransklara.,Söka_Djurbestånd
Jag är intresserad av en hund av mindre storlek.,Söka_Djurbestånd
Finns det några hopponnyer?,Söka_Djurbestånd
Söker en dressyrhäst med potential.,Söka_Djurbestånd
Jag undrar över era hästraser.,Söka_Djurbestånd
Vilka hundar är mest lämpade för nybörjare?,Söka_Djurbestånd
Kan jag söka på färg, till exempel bruna hästar?,Söka_Djurbestånd
Jag letar efter en fullt inriden häst.,Söka_Djurbestånd
Har ni några vuxna hundar?,Söka_Djurbestånd
Jag söker en hund utan problembeteenden.,Söka_Djurbestånd
Finns det några valpar av blandras?,Söka_Djurbestånd
Visa mig er lista på djur till salu.,Söka_Djurbestånd
Jag vill ha en hundras som är känd för att vara allergivänlig.,Söka_Djurbestånd
Har ni några djur som ni rekommenderar för terapi?,Söka_Djurbestånd
Jag söker en lugn och äldre häst som sällskap.,Söka_Djurbestånd
Vilka hästar kan jag köpa idag?,Söka_Djurbestånd
Finns det några hanhundar som inte är aggressiva?,Söka_Djurbestånd
Jag är intresserad av djur som är vana vid transport.,Söka_Djurbestånd
Visa mig alla djur som passar för utställning.,Söka_Djurbestånd
Jag vill se alla bruna ponnyer.,Söka_Djurbestånd
Kan jag få en lista på alla djur med bild?,Söka_Djurbestånd
Har ni några hundar som är bra på spårning?,Söka_Djurbestånd
Söker en lugn häst som klarar uteritter ensam.,Söka_Djurbestånd
Finns det några hästar tillgängliga för leasing?,Söka_Djurbestånd
Jag är ute efter en stor hundras som tål kyla.,Söka_Djurbestånd
Visa mig djuren med högst pris.,Söka_Djurbestånd
Har ni några valpar som är färdiga att flytta?,Söka_Djurbestånd
Jag letar efter en C-ponny.,Söka_Djurbestånd
Vilka djur har ni i ert stall i Västmanland?,Söka_Djurbestånd
Jag vill köpa en tik som är yngre än ett år.,Söka_Djurbestånd
Finns det några ridhästar som är vana vid hoppning?,Söka_Djurbestånd
Har ni några djur som inte är chipmärkta?,Söka_Djurbestånd
Jag söker efter en liten knähund.,Söka_Djurbestånd
Kan jag få information om era hästar?,Söka_Djurbestånd
Visa mig er lista över tillgängliga sällskapsdjur.,Söka_Djurbestånd
Jag är intresserad av en häst som är lättfödd.,Söka_Djurbestånd
Har ni någon hingst till salu?,Söka_Djurbestånd
Jag letar efter en hund med kort päls.,Söka_Djurbestånd
Vilka djur har ni som är tränade för körning?,Söka_Djurbestånd
Finns det några valpar som är rumsrena?,Söka_Djurbestånd
Söker en D-ponny för tävling.,Söka_Djurbestånd
Jag vill se alla vita hundar.,Söka_Djurbestånd
Har ni några djur som är vana vid storstadsmiljö?,Söka_Djurbestånd
Visa mig hundar som är bra med andra djur.,Söka_Djurbestånd
Jag letar efter en häst som är fullt vaccinerad.,Söka_Djurbestånd
Kan jag söka på hästar i ert stall i Dalarna?,Söka_Djurbestånd
Jag vill köpa en hund som är tränad för att vara själv hemma.,Söka_Djurbestånd
Finns det några tikar som är lämpliga för avel?,Söka_Djurbestånd
Har ni några raser med lång livslängd?,Söka_Djurbestånd
Visa mig alla djur som är registrerade.,Söka_Djurbestånd
Jag söker en ponny som inte är för pigg.,Söka_Djurbestånd
Har ni några hundar som är bra på att vakta?,Söka_Djurbestånd
Vilka djur rekommenderar ni för en förstagångsägare?,Söka_Djurbestånd
Jag letar efter en hund som älskar att simma.,Söka_Djurbestånd
